Matrikkel / Org-Anr,Address,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Area name,Days since first sold,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes,Lat,Lon
5001-20/88/0/0,"Skogvegen 32, 7058 CHARLOTTENLUND",Selveier enebolig,441,517,567,2007.0,0,970.8,2021-02-28,16900000,0.0,16900000,9,8,2021-02-22,6,Eiendomsmegler 1,7058,CHARLOTTENLUND,0,3,4,0,0,63.4239,10.4927
5001-410/683/0/34,"Dyre Halses gate 11, 7042 TRONDHEIM",Selveierleilighet,55,55,60,2004.0,7,1043.2,2021-03-01,4380000,0.0,4380000,2,2,2021-02-25,4,DNB Eiendom,7042,TRONDHEIM,1,1,7,1,0,63.4364,10.4134
5001-404/418/0/69,"Tellefsens gate 8, 7030 TRONDHEIM",Selveierleilighet,135,144,144,2019.0,5,3673.0,2021-03-01,12500000,0.0,12500000,4,3,2021-01-28,32,Eiendomsmegler 1,7030,TRONDHEIM,1,3,7,1,0,63.4206,10.3973
5001-52/224/0/128,"Heggdalsringen 65, 7049 TRONDHEIM",Selveierleilighet,69,73,73,2019.0,5,4572.6,2021-03-01,4950000,0.0,4950000,3,2,2021-03-01,0,Other,7049,TRONDHEIM,1,8,7,0,0,63.4044,10.4535
5001-76/267/0/15,"Siriusvegen 10 A, 7037 TRONDHEIM",Selveierleilighet,74,74,81,1995.0,3,9300.8,2021-03-01,3450000,50690.0,3500690,3,2,2021-02-23,6,Eiendomsmegler 1,7037,TRONDHEIM,1,3,7,1,0,63.3941,10.4113
5001-521/263/0/0,"Skjoldvegen 10, 7540 KLÆBU",Selveier enebolig,244,333,366,1989.0,0,807.6,2021-03-02,5850000,0.0,5850000,5,4,2021-03-02,0,Other,7540,KLÆBU,2,8,4,0,0,63.2976,10.4826
848819662/201,"Øvre Flatåsveg 29 B, 7079 FLATÅSEN",Borettslagsleilighet,85,85,87,1975.0,1,94067.0,2021-03-02,2950000,97944.0,3047944,3,3,2021-02-19,11,Heimdal Eiendomsmegling,7079,FLATÅSEN,2,4,3,0,0,63.377,10.3375
848819662/104,"Øvre Flatåsveg 11 A, 7079 FLATÅSEN",Borettslagsleilighet,85,87,95,1975.0,3,94067.0,2021-03-02,2390000,97944.0,2487944,3,2,2021-02-19,11,Heimdal Eiendomsmegling,7079,FLATÅSEN,2,4,3,0,0,63.377,10.3375
931928481/118,"Starrmyra 12, 7091 TILLER",Borettslagsleilighet,88,93,105,1984.0,2,44016.5,2021-03-02,3200000,197925.0,3397925,3,2,2021-02-12,18,Aktiv,7091,TILLER,2,0,3,0,0,63.3619,10.3898
948726017/102,"Moltmyra 34, 7091 TILLER",Borettslag rekkehus,96,100,109,1981.0,0,7535.5,2021-03-02,3050000,418344.0,3468344,4,3,2021-02-23,7,Proaktiv,7091,TILLER,2,10,1,1,1,63.3619,10.3898
5001-62/454/0/1,"Gressbanevegen 3, 7031 TRONDHEIM",Selveierleilighet,100,109,117,1948.0,1,570.6,2021-03-02,3720000,0.0,3720000,3,5,2020-12-28,64,Aktiv,7031,TRONDHEIM,2,0,7,0,1,63.4068,10.401
959157871/47,"Sollia 33, 7033 TRONDHEIM",Borettslagsleilighet,86,89,89,1976.0,3,59117.89999999999,2021-03-02,3450000,171952.0,3621952,4,3,2021-02-19,11,Heimdal Eiendomsmegling,7033,TRONDHEIM,2,4,3,0,0,63.4022,10.4305
5001-414/203/0/0,"Ladehammerveien 28 B, 7040 TRONDHEIM",Selveier enebolig,300,313,0,1965.0,0,1436.4,2021-03-02,15000000,0.0,15000000,11,10,2021-02-19,11,Heimdal Eiendomsmegling,7040,TRONDHEIM,2,4,4,0,0,63.4504,10.4456
5001-70/167/0/3,"Iduns veg 1, 7035 TRONDHEIM",Selveierleilighet,67,71,79,1994.0,2,170.0,2021-03-02,3350000,0.0,3350000,3,2,2021-03-02,0,Other,7035,TRONDHEIM,2,8,7,1,0,63.4044,10.4198
5001-410/358/0/2,"Sigurd Bergs alle 8, 7043 TRONDHEIM",Selveierleilighet,57,57,62,1937.0,1,931.8,2021-03-02,3640000,0.0,3640000,3,2,2021-02-20,10,Eiendomsmegler 1,7043,TRONDHEIM,2,3,7,1,1,63.433,10.4219
