konsumgruppe;måned;KPI;Månedsendring (prosent)
KPI-JA Totalindeks;2021M01;114,5;1,3
KPI-JA Totalindeks;2021M02;115,3;0,7
KPI-JA Totalindeks;2021M03;115;-0,3
KPI-JA Totalindeks;2021M04;115,4;0,3
KPI-JA Totalindeks;2021M05;115,3;-0,1
KPI-JA Totalindeks;2021M06;115,7;0,3
KPI-JA Totalindeks;2021M07;116,9;1
KPI-JA Totalindeks;2021M08;116,9;0
KPI-JA Totalindeks;2021M09;118,2;1,1
KPI-JA Totalindeks;2021M10;117,6;-0,5
KPI-JA Totalindeks;2021M11;118,5;0,8
KPI-JA Totalindeks;2021M12;121;2,1
KPI-JA Totalindeks;2022M01;120,2;-0,7
KPI-JA Totalindeks;2022M02;121,5;1,1
KPI-JA Totalindeks;2022M03;122,5;0,8
KPI-JA Totalindeks;2022M04;123,7;1
KPI-JA Totalindeks;2022M05;124;0,2
KPI-JA Totalindeks;2022M06;125,1;0,9
KPI-JA Totalindeks;2022M07;126,9;1,4
KPI-JA Totalindeks;2022M08;127,2;0,2
KPI-JA Totalindeks;2022M09;129,5;1,8
KPI-JA Totalindeks;2022M10;128,8;-0,5
KPI-JA Totalindeks;2022M11;128,4;-0,3
KPI-JA Totalindeks;2022M12;129,6;0,9
KPI-JA Totalindeks;2023M01;128,9;-0,5
KPI-JA Totalindeks;2023M02;129,4;0,4
KPI-JA Totalindeks;2023M03;130,4;0,8
KPI-JA Totalindeks;2023M04;131,5;0,8
KPI-JA Totalindeks;2023M05;131,8;0,2
KPI-JA Totalindeks;2023M06;132,7;0,7
KPI-JA Totalindeks;2023M07;133,5;0,6
KPI-JA Totalindeks;2023M08;132,7;-0,6
KPI-JA Totalindeks;2023M09;132,9;0,2
KPI-JA Totalindeks;2023M10;134;0,8
KPI-JA Totalindeks;2023M11;134,8;0,6
KPI-JA Totalindeks;2023M12;134,8;0
KPI-JA Totalindeks;2024M01;134,8;0
KPI-JA Totalindeks;2024M02;134,8;0
