HPI Norway,HPI Trondheim,Year,Month,Borrowing rate%,Average CPI,Change CPI,Policy rate,Change Policy rate
130.7,123.5,2021,1,"1,78",116.1,0.033591731266149796,0.08,-0.0027999999999999995
130.7,123.5,2021,2,"1,77",116.1,0.033591731266149796,0.08,-0.0027999999999999995
130.7,123.5,2021,3,"1,77",116.1,0.033591731266149796,0.08,-0.0027999999999999995
137.0,128.5,2021,4,"1,77",116.1,0.033591731266149796,0.08,-0.0027999999999999995
137.0,128.5,2021,5,"1,76",116.1,0.033591731266149796,0.08,-0.0027999999999999995
137.0,128.5,2021,6,"1,75",116.1,0.033591731266149796,0.08,-0.0027999999999999995
136.5,129.6,2021,7,"1,75",116.1,0.033591731266149796,0.08,-0.0027999999999999995
136.5,129.6,2021,8,"1,74",116.1,0.033591731266149796,0.08,-0.0027999999999999995
136.5,129.6,2021,9,"1,75",116.1,0.033591731266149796,0.08,-0.0027999999999999995
133.9,129.8,2021,10,"1,86",116.1,0.033591731266149796,0.08,-0.0027999999999999995
133.9,129.8,2021,11,"1,91",116.1,0.033591731266149796,0.08,-0.0027999999999999995
133.9,129.8,2021,12,"1,93",116.1,0.033591731266149796,0.08,-0.0027999999999999995
140.1,137.7,2022,1,"2,07",122.8,0.05456026058631924,1.33,0.0125
140.1,137.7,2022,2,"2,12",122.8,0.05456026058631924,1.33,0.0125
140.1,137.7,2022,3,"2,16",122.8,0.05456026058631924,1.33,0.0125
145.7,139.7,2022,4,"2,31",122.8,0.05456026058631924,1.33,0.0125
145.7,139.7,2022,5,"2,36",122.8,0.05456026058631924,1.33,0.0125
145.7,139.7,2022,6,"2,40",122.8,0.05456026058631924,1.33,0.0125
143.1,136.7,2022,7,"2,69",122.8,0.05456026058631924,1.33,0.0125
143.1,136.7,2022,8,"2,89",122.8,0.05456026058631924,1.33,0.0125
143.1,136.7,2022,9,"3,29",122.8,0.05456026058631924,1.33,0.0125
137.4,131.1,2022,10,"3,66",122.8,0.05456026058631924,1.33,0.0125
137.4,131.1,2022,11,"3,88",122.8,0.05456026058631924,1.33,0.0125
137.4,131.1,2022,12,"3,99",122.8,0.05456026058631924,1.33,0.0125
140.0,135.5,2023,1,"4,17",129.6,0.05246913580246912,3.54,0.022099999999999998
140.0,135.5,2023,2,"4,19",129.6,0.05246913580246912,3.54,0.022099999999999998
140.0,135.5,2023,3,"4,22",129.6,0.05246913580246912,3.54,0.022099999999999998
145.5,138.5,2023,4,"4,38",129.6,0.05246913580246912,3.54,0.022099999999999998
145.5,138.5,2023,5,"4,52",129.6,0.05246913580246912,3.54,0.022099999999999998
145.5,138.5,2023,6,"4,69",129.6,0.05246913580246912,3.54,0.022099999999999998
141.3,135.4,2023,7,"4,98",129.6,0.05246913580246912,3.54,0.022099999999999998
141.3,135.4,2023,8,"5,19",129.6,0.05246913580246912,3.54,0.022099999999999998
141.3,135.4,2023,9,"5,34",129.6,0.05246913580246912,3.54,0.022099999999999998
136.4,131.4,2023,10,"5,46",129.6,0.05246913580246912,3.54,0.022099999999999998
136.4,131.4,2023,11,"5,54",129.6,0.05246913580246912,3.54,0.022099999999999998
136.4,131.4,2023,12,"5,56",129.6,0.05246913580246912,3.54,0.022099999999999998
