CPI,Change CPI,Month,Year,HPI Norway,HPI Trondheim,Borrowing rate%
"114,5","1,3",1,2021,130.7,123.5,"1,78"
"115,3","0,7",2,2021,130.7,123.5,"1,77"
115,"-0,3",3,2021,130.7,123.5,"1,77"
"115,4","0,3",4,2021,137.0,128.5,"1,77"
"115,3","-0,1",5,2021,137.0,128.5,"1,76"
"115,7","0,3",6,2021,137.0,128.5,"1,75"
"116,9",1,7,2021,136.5,129.6,"1,75"
"116,9",0,8,2021,136.5,129.6,"1,74"
"118,2","1,1",9,2021,136.5,129.6,"1,75"
"117,6","-0,5",10,2021,133.9,129.8,"1,86"
"118,5","0,8",11,2021,133.9,129.8,"1,91"
121,"2,1",12,2021,133.9,129.8,"1,93"
"120,2","-0,7",1,2022,140.1,137.7,"2,07"
"121,5","1,1",2,2022,140.1,137.7,"2,12"
"122,5","0,8",3,2022,140.1,137.7,"2,16"
"123,7",1,4,2022,145.7,139.7,"2,31"
124,"0,2",5,2022,145.7,139.7,"2,36"
"125,1","0,9",6,2022,145.7,139.7,"2,40"
"126,9","1,4",7,2022,143.1,136.7,"2,69"
"127,2","0,2",8,2022,143.1,136.7,"2,89"
"129,5","1,8",9,2022,143.1,136.7,"3,29"
"128,8","-0,5",10,2022,137.4,131.1,"3,66"
"128,4","-0,3",11,2022,137.4,131.1,"3,88"
"129,6","0,9",12,2022,137.4,131.1,"3,99"
"128,9","-0,5",1,2023,140.0,135.5,"4,17"
"129,4","0,4",2,2023,140.0,135.5,"4,19"
"130,4","0,8",3,2023,140.0,135.5,"4,22"
"131,5","0,8",4,2023,145.5,138.5,"4,38"
"131,8","0,2",5,2023,145.5,138.5,"4,52"
"132,7","0,7",6,2023,145.5,138.5,"4,69"
"133,5","0,6",7,2023,141.3,135.4,"4,98"
"132,7","-0,6",8,2023,141.3,135.4,"5,19"
"132,9","0,2",9,2023,141.3,135.4,"5,34"
134,"0,8",10,2023,136.4,131.4,"5,46"
"134,8","0,6",11,2023,136.4,131.4,"5,54"
"134,8",0,12,2023,136.4,131.4,"5,56"
