,Matrikkel / Org-Anr,Address,PostalCode,Area,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes
0,5001-20/88/0/0,Skogvegen 32,7058,CHARLOTTENLUND,Selveier enebolig,441,517,567,2007,0,970.8,2021-02-28,16900000,0.0,16900000.0,0,8,2021-02-22,6,Eiendomsmegler 1,7058,3,4,0,0
1,5001-404/418/0/69,Tellefsens gate 8,7030,TRONDHEIM,Selveierleilighet,135,144,0,2019,5,3673.0,2021-03-01,12500000,0.0,12500000.0,4,3,2021-01-28,32,Eiendomsmegler 1,7030,3,7,1,0
2,5001-76/267/0/15,Siriusvegen 10 A,7037,TRONDHEIM,Selveierleilighet,74,74,81,1995,3,9300.8,2021-03-01,3450000,50690.0,3500690.0,3,2,2021-02-23,6,Eiendomsmegler 1,7037,3,7,1,0
3,5001-52/224/0/128,Heggdalsringen 65,7049,TRONDHEIM,Selveierleilighet,69,73,0,2019,5,4572.6,2021-03-01,4950000,0.0,4950000.0,3,2,2021-03-01,0,Other,7049,8,7,0,0
4,5001-410/683/0/34,Dyre Halses gate 11,7042,TRONDHEIM,Selveierleilighet,55,55,60,2004,7,1043.2,2021-03-01,4380000,0.0,4380000.0,2,2,2021-02-25,4,DNB Eiendom,7042,1,7,1,0
5,5001-521/263/0/0,Skjoldvegen 10,7540,KLÃ†BU,Selveier enebolig,244,333,366,1989,0,807.6,2021-03-02,5850000,0.0,5850000.0,5,4,2021-03-02,0,Other,7540,8,4,0,0
6,959157871/47,Sollia 33,7033,TRONDHEIM,Borettslagsleilighet,86,89,0,1976,3,59117.9,2021-03-02,3450000,171952.0,3621952.0,4,3,2021-02-19,11,Heimdal Eiendomsmegling,7033,4,3,0,0
7,5001-409/27/0/3,Kirkegata 12 D,7014,TRONDHEIM,Selveierleilighet,52,52,57,1880,1,297.0,2021-03-02,3650000,0.0,3650000.0,0,2,2021-02-19,11,Eiendomsmegler 1,7014,3,7,0,0
8,5001-414/203/0/0,Ladehammerveien 28 B,7040,TRONDHEIM,Selveier enebolig,300,313,0,1965,0,1436.4,2021-03-02,15000000,0.0,15000000.0,0,10,2021-02-19,11,Heimdal Eiendomsmegling,7040,4,4,0,0
9,948659158/29,Fredrikke Qvams veg 20 E,7046,TRONDHEIM,Borettslagsleilighet,67,67,73,1960,3,30239.4,2021-03-02,3950000,91568.0,4041568.0,3,3,2020-09-04,179,DNB Eiendom,7046,1,3,1,1
10,5001-48/180/0/21,Wilhelm K. StÃ¸rens veg 59,7048,TRONDHEIM,Selveierleilighet,35,44,48,2007,1,13071.3,2021-03-02,2270000,2720.0,2272720.0,2,1,2021-02-19,11,Eiendomsmegler 1,7048,3,7,1,1
11,5001-187/143/0/0,LÃ¦gdgrinda 32,7026,TRONDHEIM,Selveier tomannsbolig,128,138,151,2005,0,253.5,2021-03-02,4500000,0.0,4500000.0,5,3,2021-02-19,11,Heimdal Eiendomsmegling,7026,4,6,1,0
12,981622065/7,Laura HangerÃ¥s' veg 4 C,7026,TRONDHEIM,Borettslagsleilighet,91,95,0,2000,2,4390.9,2021-03-02,2890000,539453.0,3429453.0,4,2,2021-02-22,8,Meglerhuset Nylander,7026,7,3,0,0
13,5001-62/454/0/1,Gressbanevegen 3,7031,TRONDHEIM,Selveierleilighet,100,109,117,1948,1,570.6,2021-03-02,3720000,0.0,3720000.0,3,5,2020-12-28,0,Aktiv,7031,0,7,0,1
14,848819662/201,Ã˜vre FlatÃ¥sveg 29 B,7079,FLATÃ…SEN,Borettslagsleilighet,85,85,87,1975,1,94067.0,2021-03-02,2950000,97944.0,3047944.0,3,3,2021-02-19,11,Heimdal Eiendomsmegling,7079,4,3,0,0
15,848819662/104,Ã˜vre FlatÃ¥sveg 11 A,7079,FLATÃ…SEN,Borettslagsleilighet,85,87,95,1975,3,94067.0,2021-03-02,2390000,97944.0,2487944.0,3,2,2021-02-19,11,Heimdal Eiendomsmegling,7079,4,3,0,0
16,948726017/102,Moltmyra 34,7091,TILLER,Borettslag rekkehus,96,100,109,1981,0,7535.5,2021-03-02,3050000,418344.0,3468344.0,4,3,2021-02-23,7,Proaktiv,7091,10,1,1,1
17,5001-29/150/0/24,Solveig Abrahamsens veg 20 E,7054,RANHEIM,Selveier enebolig,85,85,0,2018,0,2975.0,2021-03-02,4540000,0.0,4540000.0,4,3,2021-02-19,11,Eiendomsmegler 1,7054,3,4,0,0
18,5001-11/71/0/0,Veimester Kroghs gate 8,7052,TRONDHEIM,Selveier tomannsbolig,0,216,0,1952,0,1198.9,2021-03-02,12000000,0.0,12000000.0,0,0,2021-03-02,0,Other,7052,8,6,0,0
19,5001-66/322/0/0,Astri Aasens veg 17 A,7051,TRONDHEIM,Selveier tomannsbolig,126,133,146,1955,0,529.6,2021-03-02,7150000,0.0,7150000.0,4,3,2021-02-22,8,Meglerhuset Nylander,7051,7,6,1,0
20,931928481/118,Starrmyra 12,7091,TILLER,Borettslagsleilighet,88,93,105,1984,2,44016.5,2021-03-02,3200000,197925.0,3397925.0,3,2,2021-02-12,18,Aktiv,7091,0,3,0,0
21,948722585/227,Karolinerveien 7 A,7021,TRONDHEIM,Borettslagsleilighet,31,31,34,1966,1,44327.8,2021-03-02,1980000,15200.0,1995200.0,1,1,2021-02-19,11,Eiendomsmegler 1,7021,3,3,0,1
22,5001-410/358/0/2,Sigurd Bergs alle 8,7043,TRONDHEIM,Selveierleilighet,57,57,62,1937,1,931.8,2021-03-02,3640000,0.0,3640000.0,0,2,2021-02-20,10,Eiendomsmegler 1,7043,3,7,1,1
23,948722585/227,Karolinerveien 7 A,7021,TRONDHEIM,Borettslagsleilighet,31,31,34,1966,1,44327.8,2021-03-02,1980000,15200.0,1995200.0,1,1,2021-02-19,11,Eiendomsmegler 1,7021,3,3,0,1
24,5001-70/167/0/3,Iduns veg 1,7035,TRONDHEIM,Selveierleilighet,67,71,79,1994,2,170.0,2021-03-02,3350000,0.0,3350000.0,3,2,2021-03-02,0,Other,7035,8,7,1,0
25,5001-412/411/0/41,Julianus Holms veg 26,7041,TRONDHEIM,Selveierleilighet,40,40,44,2015,1,1659.2,2021-03-02,2685000,0.0,2685000.0,2,1,2021-02-22,8,DNB Eiendom,7041,1,7,1,0
26,5001-49/310/0/13,Ã˜vre GranÃ¥slia 13,7047,TRONDHEIM,Selveierleilighet,57,78,84,2020,2,5519.6,2021-03-02,3790000,0.0,3790000.0,1,2,2021-02-19,11,DNB Eiendom,7047,1,7,1,0
27,963954735/210,Lillebergvegen 6 B,7052,TRONDHEIM,Borettslagsleilighet,36,36,39,1962,2,5022.7,2021-03-03,2490000,1160.0,2491160.0,2,1,2021-02-19,12,Eiendomsmegler 1,7052,3,3,0,0
28,5001-49/312/0/27,Ã˜vre GranÃ¥slia 23,7047,TRONDHEIM,Selveierleilighet,55,62,0,2020,1,6534.8,2021-03-03,3700000,0.0,3700000.0,3,2,2021-01-29,33,Heimdal Eiendomsmegling,7047,4,7,0,0
29,5001-73/271/0/75,Sorgenfriveien 26,7031,TRONDHEIM,Selveierleilighet,32,36,0,2020,7,1198.1,2021-03-03,3050000,0.0,3050000.0,2,0,2021-02-24,7,Heimdal Eiendomsmegling,7031,4,7,0,0
30,5001-73/271/0/66,Sorgenfriveien 26,7031,TRONDHEIM,Selveierleilighet,57,61,61,2019,5,1198.1,2021-03-03,4190000,0.0,4190000.0,3,2,2021-01-01,61,EIE Eiendomsmegling,7031,2,7,1,0
31,954872416/170,Edgar B. Schieldrops veg 22 B,7033,TRONDHEIM,Borettslagsleilighet,64,64,69,1973,2,56058.1,2021-03-03,2970000,316865.0,3286865.0,2,2,2021-02-13,18,Heimdal Eiendomsmegling,7033,4,3,1,0
32,5001-71/6/0/2,KlÃ¦buveien 221 B,7037,TRONDHEIM,Selveierleilighet,69,74,80,2014,1,974.6,2021-03-03,3750000,0.0,3750000.0,3,2,2020-03-11,357,Eiendomsmegler 1,7037,3,7,1,0
33,986896244/116,Ratesvingen 12,7038,TRONDHEIM,Borettslagsleilighet,52,52,58,2007,1,2997.7,2021-03-03,1730000,625180.0,2355180.0,2,1,2021-02-24,7,Proaktiv,7038,10,3,1,1
34,5001-324/65/0/0,Movollen 35,7091,TILLER,Selveier rekkehus,159,179,204,2009,0,176.4,2021-03-03,5700000,0.0,5700000.0,4,4,2021-03-03,0,Eiendomsmegler 1,7091,3,5,1,0
35,950117427/340,Kolstadtunet 8 B,7098,SAUPSTAD,Borettslagsleilighet,92,94,0,1971,4,100498.6,2021-03-03,2220000,73500.0,2293500.0,0,3,2021-02-23,8,Eiendomsmegler 1,7098,3,3,0,0
36,5001-415/233/0/49,StjÃ¸rdalsveien 17,7066,TRONDHEIM,Selveierleilighet,43,43,0,2017,3,890.7,2021-03-03,3100000,0.0,3100000.0,3,2,2021-03-03,0,Other,7066,8,7,0,0
37,5001-409/418/0/0,AsbjÃ¸rnsens gate 13,7052,TRONDHEIM,Selveier tomannsbolig,259,346,375,1931,0,759.4,2021-03-03,13125000,0.0,13125000.0,0,8,2021-02-19,12,Heimdal Eiendomsmegling,7052,4,6,1,0
38,959395187/21,Nyheimsvegen 23 D,7058,CHARLOTTENLUND,Borettslagsleilighet,70,70,78,1959,2,3448.5,2021-03-03,2550000,375199.0,2925199.0,3,2,2021-02-23,8,Krogsveen,7058,5,3,0,0
39,5001-406/234/0/4,Eidsvolls gate 34,7052,TRONDHEIM,Selveierleilighet,0,94,0,1920,1,737.6,2021-03-03,2850000,0.0,2850000.0,4,0,2021-03-03,0,Other,7052,8,7,0,0
40,5001-410/652/0/41,Dokkgata 2 B,7042,TRONDHEIM,Selveierleilighet,73,78,85,1998,4,2634.9,2021-03-03,5650000,0.0,5650000.0,3,2,2020-12-27,66,Eiendomsmegler 1,7042,3,7,1,0
41,948924781/189,Einar Ã˜fstis veg 43,7033,TRONDHEIM,Borettslagsleilighet,35,35,38,1967,2,9583.3,2021-03-03,1920000,171115.0,2091115.0,2,1,2021-02-22,9,Eiendomsmegler 1,7033,3,3,0,0
42,988131458/8,Anton Bergs veg 24 B,7099,FLATÃ…SEN,Borettslagsleilighet,100,106,116,2006,1,7304.1,2021-03-03,2520000,817163.0,3337163.0,4,3,2020-09-19,165,Privatmegleren,7099,9,3,0,1
43,959309728/32,KlÃ¦buveien 46,7030,TRONDHEIM,Borettslagsleilighet,68,68,75,1952,4,781.0,2021-03-03,3650000,96056.0,3746056.0,0,2,2021-02-25,6,Meglerhuset Nylander,7030,7,3,1,1
44,5001-17/801/0/7,Anton Jenssens veg 100 B,7053,RANHEIM,Selveierleilighet,100,100,107,2006,2,1873.0,2021-03-03,4250000,0.0,4250000.0,4,3,2021-02-17,14,Eiendomsmegler 1,7053,3,7,1,1
