måned;Renter på nye boliglån
2013M12;3,98
2014M01;3,97
2014M02;3,97
2014M03;3,96
2014M04;3,87
2014M05;3,80
2014M06;3,78
2014M07;3,76
2014M08;3,76
2014M09;3,72
2014M10;3,58
2014M11;3,53
2014M12;3,48
2015M01;3,18
2015M02;3,01
2015M03;2,99
2015M04;3,01
2015M05;3,00
2015M06;2,97
2015M07;2,86
2015M08;2,82
2015M09;2,78
2015M10;2,60
2015M11;2,57
2015M12;2,53
2016M01;2,55
2016M02;2,50
2016M03;2,47
2016M04;2,39
2016M05;2,37
2016M06;2,37
2016M07;2,38
2016M08;2,35
2016M09;2,36
2016M10;2,39
2016M11;2,44
2016M12;2,46
2017M01;2,49
2017M02;2,50
2017M03;2,53
2017M04;2,53
2017M05;2,51
2017M06;2,51
2017M07;2,51
2017M08;2,50
2017M09;2,49
2017M10;2,45
2017M11;2,45
2017M12;2,42
2018M01;2,43
2018M02;2,44
2018M03;2,44
2018M04;2,42
2018M05;2,43
2018M06;2,43
2018M07;2,45
2018M08;2,43
2018M09;2,44
2018M10;2,55
2018M11;2,58
2018M12;2,55
2019M01;2,51
2019M02;2,50
2019M03;2,52
2019M04;2,65
2019M05;2,68
2019M06;2,72
2019M07;2,81
2019M08;2,87
2019M09;2,87
2019M10;2,97
2019M11;3,03
2019M12;3,04
2020M01;3,02
2020M02;3,03
2020M03;2,76
2020M04;2,23
2020M05;1,88
2020M06;1,80
2020M07;1,82
2020M08;1,82
2020M09;1,81
2020M10;1,81
2020M11;1,79
2020M12;1,77
2021M01;1,78
2021M02;1,77
2021M03;1,77
2021M04;1,77
2021M05;1,76
2021M06;1,75
2021M07;1,75
2021M08;1,74
2021M09;1,75
2021M10;1,86
2021M11;1,91
2021M12;1,93
2022M01;2,07
2022M02;2,12
2022M03;2,16
2022M04;2,31
2022M05;2,36
2022M06;2,40
2022M07;2,69
2022M08;2,89
2022M09;3,29
2022M10;3,66
2022M11;3,88
2022M12;3,99
2023M01;4,17
2023M02;4,19
2023M03;4,22
2023M04;4,38
2023M05;4,52
2023M06;4,69
2023M07;4,98
2023M08;5,19
2023M09;5,34
2023M10;5,46
2023M11;5,54
2023M12;5,56
2024M01;5,62
